Labels / Conversation Depth,1,2,3,4,5,6,7,8,9,10,
caution_and_advice,97%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
displaced_people_and_evacuations,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
donation_needs_or_offers_or_volunteering_services,71%,6%,6%,4%,7%,3%,2%,1%,0%,0%,
infrastructure_and_utilities_damage,95%,0%,0%,3%,0%,0%,1%,1%,0%,0%,
injured_or_dead_people,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
missing_trapped_or_found_people,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
not_related_or_irrelevant,11%,44%,16%,9%,6%,4%,3%,2%,1%,1%,
other_useful_information,89%,2%,1%,1%,4%,1%,2%,0%,0%,0%,
sympathy_and_emotional_support,72%,6%,4%,6%,6%,4%,2%,1%,0%,0%,
 Total (%),53.85%,21.47%,8.14%,4.84%,3.82%,2.48%,1.91%,1.17%,0.60%,0.31%,